,Epoch,Mean Train Loss,Mean Test Loss,Test Acc(%),Time Per Epoch(s)
0,1,2.299598879216577,2.2963035045915348,12.049999999999999,19.003942251205444
1,2,2.286346292251821,2.2818250625756136,17.740000000000002,16.44162607192993
2,3,2.2526539509253736,2.23125452600467,20.66,16.462599277496338
3,4,2.1971616638286036,2.16612200372538,22.97,16.532689571380615
4,5,2.135834963425346,2.084593081170586,26.029999999999998,16.495209217071533
5,6,2.06326869366419,2.039625694797297,26.13,16.406910181045532
6,7,2.0299528956108386,2.018754482269287,26.82,16.269067525863647
7,8,2.006245696026346,1.996329229348784,28.18,16.551154613494873
8,9,1.9861701415932698,1.9833747604090697,28.57,16.62068796157837
9,10,1.965850784345661,1.9701283205846312,29.69,16.643558025360107
10,11,1.943713635739768,1.9360794398435361,31.269999999999996,16.739205598831177
11,12,1.9210509215779317,1.9393367539545534,31.490000000000002,16.613346815109253
12,13,1.899778255873629,1.9399085758597987,30.990000000000002,16.71268606185913
13,14,1.8786091167298729,1.9387417105352802,29.880000000000003,16.817402124404907
14,15,1.8528329792534908,1.9546277507854875,28.810000000000002,16.822916507720947
15,16,1.8296107966881578,1.9659948440114403,27.900000000000002,16.593900442123413
16,17,1.807454064983846,2.0033926212104265,26.66,16.70220923423767
17,18,1.7858268176503194,2.0330457011605523,26.11,16.712852239608765
18,19,1.7652253406431975,2.052842750670804,25.82,16.656744480133057
19,20,1.7463445791503047,2.0802272975824443,25.05,16.65159273147583
20,21,1.7285909916433837,2.071161295957626,25.46,16.845633029937744
21,22,1.7141370061413406,2.1674397849732903,23.73,16.83331537246704
22,23,1.6978900074349035,2.0886880250493434,25.52,16.57903814315796
23,24,1.680094627620619,2.1118713412315224,25.4,16.68078851699829
24,25,1.6657467252763032,2.0738814621214656,27.3,16.832459688186646
25,26,1.6514610757913126,2.019243481812204,28.76,16.838683366775513
26,27,1.636279702948792,1.9500622810072201,30.11,16.649667739868164
27,28,1.62337979742938,1.9107400960982985,31.490000000000002,16.668212413787842
28,29,1.6108333030929955,1.9103920755872301,31.44,16.702715635299683
29,30,1.6014826521849084,1.8523667853349333,33.410000000000004,16.62907338142395
30,31,1.5842376791912576,1.8498907818156443,33.87,16.6950421333313
31,32,1.5747448013871528,1.8493160988874495,33.839999999999996,16.772929906845093
32,33,1.5655569828989562,1.8563984457854252,33.43,16.9244647026062
33,34,1.5548539762301823,1.7894001288019168,35.77,16.828333616256714
34,35,1.5461304428632303,1.7366080451163517,37.55,16.58860945701599
35,36,1.5392363691878745,1.7623662599332772,36.82,16.66652536392212
36,37,1.5307043897526345,1.7043017991788827,38.48,16.820698261260986
37,38,1.5215713807079188,1.7144240869837961,38.129999999999995,16.54250407218933
38,39,1.5122245390092015,1.6670735125329084,39.660000000000004,16.642317295074463
39,40,1.5059599967868738,1.6653437538511435,40.0,16.808867931365967
40,1,2.2994030500616867,2.2969065927396155,11.67,16.80234432220459
41,2,2.2867855973865674,2.2826521654797207,15.920000000000002,16.570021629333496
42,3,2.2541764090433145,2.2286945027150926,22.07,16.64511275291443
43,4,2.181552375978826,2.13192966941056,27.029999999999998,16.541665077209473
44,5,2.0969457393107205,2.059989287595081,25.580000000000002,16.732019186019897
45,6,2.045965342875332,2.0410396202354675,25.840000000000003,16.730652809143066
46,7,2.0198602741941465,2.0164932179602846,27.060000000000002,16.597798347473145
47,8,1.9987299898091484,1.9978572623744892,27.77,16.657126665115356
48,9,1.9781123530834228,1.9683462616744314,29.509999999999998,16.564134120941162
49,10,1.955450643663821,1.9616682392776392,30.17,16.611127614974976
50,11,1.9303728633219628,1.9494100983735103,30.620000000000005,16.72647976875305
51,12,1.9060001297070241,1.9390473365783691,30.72,16.62020182609558
52,13,1.8789346181523159,1.9207823542272968,30.61,16.717693328857422
53,14,1.857287699761598,1.9430297522028541,29.4,17.01054358482361
54,15,1.8328455909133872,1.9670805961463103,28.199999999999996,16.648385524749756
55,16,1.807816080272655,1.943580586439485,28.43,16.601061582565308
56,17,1.7893833856448493,1.9413696087090073,28.88,16.754303455352783
57,18,1.7694100775682102,1.983452722525141,27.72,17.26899480819702
58,19,1.7493081045577594,1.926571521789405,30.270000000000003,16.64738416671753
59,20,1.7313611214728002,1.9243978671966844,29.520000000000003,16.744801998138428
60,21,1.7141254588466166,1.9461465398217463,29.53,17.327104330062866
61,22,1.697307689872849,1.961315398003645,28.68,17.21970272064209
62,23,1.6891515927241587,1.9243197160161984,30.330000000000002,16.91708469390869
63,24,1.6683055171576302,1.929499959490102,30.049999999999997,17.32357120513916
64,25,1.6553754132726919,1.8611660307380045,32.09,16.591923475265503
65,26,1.6435347574446209,1.9073073393220354,31.04,16.464457035064697
66,27,1.6319656114444099,1.8564341842748557,32.37,16.31567645072937
67,28,1.6222077698049033,1.8039198362143936,34.0,16.664838790893555
68,29,1.6120764393635723,1.8100980360796497,34.33,16.441526174545288
69,30,1.6058555952728253,1.8076626358518175,33.57,16.344839811325073
70,31,1.589304835747575,1.7323243002982656,36.7,16.63102078437805
71,32,1.58363247054922,1.755657621250031,36.199999999999996,17.85608220100403
72,33,1.5720914797404844,1.7021211621108328,37.7,17.50809407234192
73,34,1.5620234800726556,1.7261287399158356,37.22,17.48354959487915
74,35,1.5538982703252826,1.682445141160564,38.440000000000005,17.445765495300293
75,36,1.5473440469378401,1.6955256583584342,37.99,17.215976238250732
76,37,1.5374932961390757,1.6699473501011064,38.96,17.449888944625854
77,38,1.530855094380391,1.6936705264316243,38.3,17.583003282546997
78,39,1.5200456011935572,1.6485298348080581,39.6,17.536498308181763
79,40,1.5113264924424994,1.65373596492087,39.39,17.46813941001892
80,1,2.3004138893483543,2.297875039896388,12.45,17.47157120704651
81,2,2.288449705104389,2.285004729677917,14.099999999999998,17.844881772994995
82,3,2.258684170520519,2.2390571080954973,18.95,17.605046033859253
83,4,2.2093575409306285,2.1892557994575257,21.9,17.57738471031189
84,5,2.1691923207029356,2.1435441363389325,25.540000000000003,17.408597707748413
85,6,2.1052912089525893,2.084097447668671,23.66,16.886605739593506
86,7,2.0456677813969,2.044902257858568,25.669999999999998,16.44437599182129
87,8,2.018014373834176,2.0217384350527623,26.900000000000002,16.51622724533081
88,9,1.9962622934899976,2.009163403966624,26.82,16.453177213668823
89,10,1.975597709493564,1.9982245287318139,27.500000000000004,16.431094884872437
90,11,1.9527088370164642,1.9794272305859122,28.53,16.328446865081787
91,12,1.9270784182621694,2.004396197902169,28.64,16.365838766098022
92,13,1.9021684971002057,1.951288413090311,30.95,16.507750988006592
93,14,1.8731349223410076,1.9586394455782168,29.160000000000004,16.356889724731445
94,15,1.8477600168084245,2.046813314128074,25.430000000000003,16.309887647628784
95,16,1.8227921286812219,2.130515404567597,23.11,16.409390926361084
96,17,1.7995365911432544,2.111544422283294,23.26,16.343122720718384
97,18,1.781329697355285,2.136607674276753,23.990000000000002,16.581033945083618
98,19,1.7590140483873276,2.0850783632059766,25.31,16.388736963272095
99,20,1.7401306065147186,2.097469309333024,25.55,16.473214387893677
100,21,1.7202803119064292,2.128541556892881,24.94,16.613593339920044
101,22,1.7082484789821497,2.084641384470994,26.43,16.372540712356567
102,23,1.6920979070236615,2.0484144816732712,27.29,16.43061637878418
103,24,1.677610699782896,2.0644652114552295,27.150000000000002,16.333316802978516
104,25,1.6621333452136926,1.949923961785189,30.04,16.354530572891235
105,26,1.6480346322059631,1.900839287763948,31.240000000000002,16.556901931762695
106,27,1.631127648798706,1.9969719990043884,28.68,16.42080068588257
107,28,1.6200118819466027,1.9526241964595332,30.37,16.73977255821228
108,29,1.605899450114316,1.8947574203940714,32.07,16.30799889564514
109,30,1.5955914986103088,1.897709476719996,31.819999999999997,16.268256425857544
110,31,1.5812135613178049,1.835645687807897,33.51,16.28188419342041
111,32,1.5693420549792707,1.8569681591289058,32.9,16.288039922714233
112,33,1.5606196031850927,1.7957129766986628,35.260000000000005,16.266929626464844
113,34,1.555414605933382,1.8294842675992637,34.43,16.26354169845581
114,35,1.5415634674489345,1.7881310806152926,35.63,16.293792963027954
115,36,1.5362541260926619,1.732561365813966,37.59,16.44328498840332
116,37,1.528394108080803,1.679950588068385,38.940000000000005,16.353689432144165
117,38,1.519103324169393,1.709158163161794,37.97,16.556869745254517
118,39,1.508165915146508,1.6523630732943297,39.97,16.366931438446045
119,40,1.5024530227531863,1.6739383594245667,39.36,16.272786855697632
120,1,2.299783292938681,2.2971009980341432,10.040000000000001,16.411015272140503
121,2,2.288989178664849,2.2860497684235783,16.31,16.66898226737976
122,3,2.262764637732445,2.2473608840043378,20.990000000000002,16.840463876724243
123,4,2.21009997333712,2.1835335515866614,22.919999999999998,16.566661834716797
124,5,2.1551525262005797,2.106949478198009,26.32,16.64751935005188
125,6,2.081826408653308,2.0436570211580602,25.2,16.505005359649658
126,7,2.035431545256349,2.0246579054814235,26.919999999999998,16.801082849502563
127,8,2.01320867937849,1.998345014395987,28.470000000000002,16.714285612106323
128,9,1.9923095166530755,2.0001780174340413,28.16,16.599937200546265
129,10,1.9724124081604315,1.9685457891719356,30.5,16.629760026931763
130,11,1.9520856163385885,1.94381147053591,31.740000000000002,16.805680751800537
131,12,1.9271732901063416,1.9319337120481357,31.22,16.57658863067627
132,13,1.906954968524406,1.9271836030255458,31.759999999999998,16.706181287765503
133,14,1.8814868675473402,1.918110508068352,30.53,16.81871247291565
134,15,1.857955839322961,1.9169344446461671,30.42,16.80300235748291
135,16,1.8337937223027125,1.9169912247141456,30.020000000000003,16.60250973701477
136,17,1.8102503098795175,1.9543558374332015,27.85,16.725218057632446
137,18,1.7884704920337022,1.9861663526790156,27.029999999999998,16.73388910293579
138,19,1.7655901358560528,1.9735072031142606,27.92,16.571491479873657
139,20,1.7450493531458824,1.9802382463102888,27.810000000000002,16.66227436065674
140,21,1.7259519220618031,1.910628909518005,30.04,16.87303924560547
141,22,1.7082826595782015,1.931085462782793,29.82,16.58053493499756
142,23,1.6919273738665959,1.88988463817888,30.64,16.64189887046814
143,24,1.675291848457073,1.9351621456206984,29.9,16.782485246658325
144,25,1.6602476219387006,1.8254258807297725,33.2,16.55332851409912
145,26,1.6486071480814453,1.8418437804386114,32.66,16.737289428710938
146,27,1.6340385283655523,1.8190451943950288,33.19,16.756807327270508
147,28,1.626433201458143,1.8207250332376759,33.19,16.558377742767334
148,29,1.6109870352098703,1.7989034819754826,33.81,16.6165132522583
149,30,1.597628584450773,1.7723860247119976,34.9,16.5507390499115
150,31,1.589417055134883,1.7229167207790788,36.65,16.614168643951416
151,32,1.5770587317474054,1.7289564814537195,36.3,16.542168855667114
152,33,1.566196609031209,1.7211550307122006,36.79,16.649837255477905
153,34,1.5566313798775149,1.690347418663608,38.18,16.560792207717896
154,35,1.5485508355033366,1.6542691197364954,39.34,16.55479073524475
155,36,1.5382891939119305,1.6584251397734235,39.07,16.53529953956604
156,37,1.5290979520439187,1.6434194472185366,39.92,16.587547302246094
157,38,1.5231175895237252,1.629519589387687,40.47,16.594396114349365
158,39,1.5118601492908605,1.6248975491068165,40.400000000000006,16.687225341796875
159,40,1.5102021540217387,1.5993149159060922,41.47,17.202566385269165
160,1,2.2983582431398086,2.296235480885597,13.15,18.863224267959595
161,2,2.2849132801260787,2.280724311330516,16.220000000000002,17.62419819831848
162,3,2.2486790028374517,2.2283306197755657,20.32,17.382909774780273
163,4,2.1957635467924423,2.176951119854192,24.29,17.5374698638916
164,5,2.1402698724775973,2.119047138341673,25.019999999999996,17.493003845214844
165,6,2.0685837242914284,2.070530558847318,24.57,17.60070252418518
166,7,2.026831346094761,2.057814049113328,24.54,17.468766927719116
167,8,2.0035106112889927,2.0290896474935445,26.169999999999998,17.412301301956177
