,Epoch,Mean Train Loss,Mean Test Loss,Test Acc(%),Time Per Epoch(s)
0,1,2.299117621133778,2.2881966791335184,26.040000000000003,19.438037395477295
1,2,2.2846228157825124,2.268157438108116,26.61,20.449369430541992
2,3,2.263789424519656,2.2344793422966247,28.73,19.873507022857666
3,4,2.2252436778334186,2.170255563821003,30.34,19.092289447784424
4,5,2.1488895469694027,2.042516306707054,39.489999999999995,20.122817277908325
5,6,1.9960323159951665,1.8082192589522927,43.7,19.13843536376953
6,7,1.7608563289316639,1.5437209940260384,43.85,20.151288986206055
7,8,1.5538776637141454,1.3614312463505254,50.519999999999996,19.356313228607178
8,9,1.4161785740480861,1.2445757654821796,54.04,19.558712005615234
9,10,1.3227072810414253,1.1617622014823232,56.089999999999996,19.905704021453857
10,1,2.299144840291368,2.2892237149985735,22.1,19.917999267578125
11,2,2.284134773968887,2.2687099526642234,28.12,20.022850036621094
12,3,2.262640096080214,2.2344464253468117,31.2,19.136743307113647
13,4,2.2239213104309115,2.169512513336862,36.18,19.780386209487915
14,5,2.1491386741558793,2.0440380482157323,46.11,19.401618480682373
15,6,2.001119398383728,1.8152750935524133,48.04,19.579408407211304
16,7,1.7683669838859533,1.5483446303446582,47.52,20.106693029403687
17,8,1.561117833044893,1.364676271274591,52.39,19.198379278182983
18,9,1.4242701221301182,1.246416191386569,55.14,19.846784830093384
19,10,1.3285471608061163,1.1630499894451942,56.11000000000001,19.15186882019043
20,1,2.297360966528747,2.285233473322194,22.8,19.797929048538208
21,2,2.279407389517655,2.259714656574711,35.11,19.305116891860962
22,3,2.252191372335021,2.2168925415938068,28.52,19.521169185638428
23,4,2.205020971206616,2.1418061453825348,29.5,19.930870056152344
24,5,2.1216810236872834,2.005744713886528,43.25,18.93180227279663
25,6,1.9653478523710366,1.7718942909483697,42.32,19.923163890838623
26,7,1.73297352126721,1.516848006825538,44.67,19.79829454421997
27,8,1.5335929332700584,1.3432585206001428,50.79,19.858506202697754
28,9,1.401626727497056,1.2310181009541652,53.28000000000001,19.19055962562561
29,10,1.3087675352615633,1.1482892624891488,55.559999999999995,19.850871562957764
30,1,2.3001660779039024,2.2869568463343724,17.169999999999998,19.727439403533936
31,2,2.283945445444439,2.264867668698548,22.56,19.182631969451904
32,3,2.2607280284388978,2.2283707652122353,26.279999999999998,20.092609643936157
33,4,2.2187629407599743,2.1595275948761374,27.52,19.121034860610962
34,5,2.139871445002398,2.025112206009543,35.68,19.93121075630188
35,6,1.9790013641786932,1.7775477960610846,45.26,19.003847122192383
36,7,1.72957424598417,1.492180749868891,48.6,19.90911316871643
37,8,1.5035527556530313,1.2963008698384473,54.54,19.462529182434082
38,9,1.3588778506984325,1.1794995517487739,56.120000000000005,19.592899799346924
39,10,1.2653905111290475,1.1039357872525597,57.199999999999996,19.91180181503296
40,1,2.2974537856550836,2.284650949915503,26.83,19.206186294555664
41,2,2.2787503817038197,2.257604845010551,23.68,19.812433004379272
42,3,2.2481316120672887,2.209887377016104,25.46,19.966275453567505
43,4,2.1948965425297953,2.1265513350249856,32.879999999999995,19.816741704940796
44,5,2.1042755269698934,1.9864896794033657,40.760000000000005,19.531142950057983
