,Epoch,Mean Train Loss,Mean Test Loss,Test Acc(%),Time Per Epoch(s)
0,1,2.356574817044758,2.3298747952167806,10.290000000000001,16.18640685081482
1,2,2.3248196256326126,2.3173627883960037,9.66,16.328088998794556
2,3,2.336765891078188,2.3153868944216995,9.89,16.944154739379883
3,4,2.3525056808455393,2.6054785480866065,9.68,14.64501142501831
4,5,2.3454423787881367,2.3293064664571714,9.98,14.794517278671265
5,6,2.4477750041314352,2.398207821907141,10.18,13.740207433700562
6,7,2.3475111617349893,2.3050238490104675,9.85,14.48011589050293
7,8,2.3230319982404515,2.3052819019708877,9.89,14.719322919845581
8,9,2.3057532816839066,2.3046570466114926,10.2,14.654797077178955
9,10,2.3088462525777906,2.3037405778200197,9.879999999999999,13.931771993637085
10,11,2.687979445513437,3.7591547782604513,9.950000000000001,14.261960744857788
11,12,2.3551127992037646,2.3026493038886633,9.84,13.58538031578064
12,13,4.779415414834608,2.302650057352506,10.2,13.469234943389893
13,14,2.3063754455256995,2.302528127645835,9.969999999999999,13.452971935272217
14,15,2.3195815959124326,21.27534982791314,10.23,13.482807636260986
15,16,2.3289161071960547,2.318673026867402,10.040000000000001,13.557647228240967
16,17,2.3942579258722327,2.3026396953142605,9.969999999999999,13.460002899169922
17,18,2.3428907592879287,2.3027970699163585,10.02,13.462900161743164
18,19,2.3026757232661943,2.30279616973339,10.02,13.821246862411499
19,20,2.310001431305355,2.302380457902566,9.99,16.352293491363525
20,21,2.305621393716704,31.899523641818607,9.98,15.333991765975952
21,22,2.3026225811134915,2.3025855284470778,10.0,14.890647172927856
22,23,2.3266373762071706,2.6181149192345448,10.0,15.946123600006104
23,24,2.3333560850475235,2.3025780885647507,10.01,15.719230651855469
24,25,2.3025141255959882,2.3023502077811804,9.98,15.834285259246826
25,26,31.16888877447285,2.3026125324078097,10.0,15.934654474258423
26,27,2.302612812058521,2.302586026680775,10.0,15.047021865844727
27,28,2.3026161036089365,2.302585814243708,10.0,15.24135971069336
28,29,2.302611923268663,2.3025858035454383,10.0,15.467297554016113
29,30,2.3026216195512608,2.302585849395165,10.0,15.399260997772217
30,31,2.3396051952907597,2.3031569642898364,10.0,15.317136287689209
31,32,2.302613118414945,2.302585549843617,10.0,16.108147144317627
32,33,2.302574368907395,2.3025855345603747,10.0,15.639060258865356
33,34,2.30256976160194,2.302585776035602,10.0,15.15417194366455
34,35,2.3026257210123884,2.3025856614112854,10.0,15.380777359008789
35,36,2.3026157723165244,2.302585636958098,10.0,15.747444152832031
36,37,2.3026130609095032,2.302585699619391,10.0,14.880310773849487
37,38,2.3026131952585,2.3025856751662035,10.0,15.963638067245483
38,39,2.302613055820526,2.302585629316477,10.0,15.001331806182861
39,40,2.3026130695607643,2.302585850923489,10.0,15.112961769104004
40,41,2.3026130749041904,2.3025857439407935,10.0,14.753409147262573
41,42,2.3026130670162757,2.3025857362991724,10.0,14.689837455749512
42,43,2.302613071596355,2.3025855192771325,10.0,14.96086311340332
43,44,2.3026130812654118,2.302585679751176,10.0,14.213478088378906
44,45,2.302613080756514,2.302585853980138,10.0,14.666887521743774
45,46,2.3026130799931677,2.302585841753544,10.0,14.097004175186157
46,47,2.302613071596355,2.3023550739655128,10.01,15.385628938674927
47,48,2.3026130736319463,2.3025858035454383,10.0,17.101450204849243
48,49,2.3026130782120258,2.302585779092251,10.0,16.168203830718994
49,50,2.3026130749041904,2.3025857531107388,10.0,15.213401079177856
50,51,2.302613072359702,2.3025857775639267,10.0,15.069600105285645
51,52,2.302613070069662,2.3025857347708483,10.0,15.116116046905518
52,53,2.302613070324111,2.302585725600903,10.0,14.122068405151367
53,54,2.302613068797418,2.302585725600903,10.0,14.202829837799072
54,55,2.3026130680340713,2.3025857347708483,10.0,14.608812093734741
55,56,2.3026130731230485,2.302585719487606,10.0,16.16212797164917
56,57,2.3026130731230485,2.302585719487606,10.0,14.543273687362671
57,58,2.302613072105253,2.3025857424124694,10.0,14.662416934967041
58,59,2.302613073886395,2.3025857424124694,10.0,15.906358003616333
59,60,2.3026130754130882,2.3025857424124694,10.0,16.66612720489502
60,61,2.3026130764308834,2.3025857424124694,10.0,16.24986743927002
61,62,2.3026130741408437,2.3025857424124694,10.0,14.926436185836792
62,63,2.3026130736319463,2.3025857424124694,10.0,14.045032024383545
63,64,2.3026130754130882,2.3025857424124694,10.0,13.980861902236938
64,65,2.3026130751586393,2.3025857424124694,10.0,14.253509044647217
65,66,2.3026130741408437,2.3025857424124694,10.0,13.9689621925354
66,67,2.3026130743952926,2.3025857424124694,10.0,16.437187910079956
67,68,2.3026130751586393,2.3025857424124694,10.0,14.617111921310425
68,69,2.3026130746497415,2.302585719487606,10.0,14.764926671981812
69,70,2.3026130754130882,2.302585719487606,10.0,14.593658685684204
70,71,2.3026130751586393,2.302585719487606,10.0,14.68677568435669
71,72,2.3026130746497415,2.302585719487606,10.0,14.756310224533081
72,73,2.3026130751586393,2.3025857424124694,10.0,14.811802625656128
73,74,2.3026130751586393,2.3025857424124694,10.0,14.72503924369812
74,75,2.3026130736319463,2.302585719487606,10.0,15.166998624801636
75,76,2.3026130749041904,2.302585719487606,10.0,15.477913618087769
76,77,2.3026130743952926,2.302585719487606,10.0,15.295551776885986
77,78,2.3026130751586393,2.302585719487606,10.0,16.493568897247314
78,79,2.3026130743952926,2.302585719487606,10.0,15.94743013381958
79,80,2.3026130751586393,2.302585719487606,10.0,15.429378271102905
80,81,2.3026130743952926,2.302585719487606,10.0,14.387975454330444
81,82,2.3026130751586393,2.302585719487606,10.0,14.18387770652771
82,83,2.3026130743952926,2.302585719487606,10.0,14.569730997085571
83,84,2.3026130751586393,2.302585719487606,10.0,15.84147334098816
84,85,2.3026130743952926,2.302585719487606,10.0,14.456376314163208
85,86,2.3026130751586393,2.302585719487606,10.0,14.449156045913696
86,87,2.3026130743952926,2.302585719487606,10.0,14.466721534729004
87,88,2.3026130751586393,2.302585719487606,10.0,14.448008060455322
88,89,2.3026130743952926,2.302585719487606,10.0,13.71053671836853
89,90,2.3026130751586393,2.302585719487606,10.0,13.579047203063965
90,91,2.3026130743952926,2.302585719487606,10.0,13.784802198410034
91,92,2.3026130751586393,2.302585719487606,10.0,13.987972974777222
92,93,2.3026130743952926,2.302585719487606,10.0,16.81305456161499
93,94,2.3026130751586393,2.302585719487606,10.0,15.91039490699768
94,95,2.3026130743952926,2.302585719487606,10.0,15.45698881149292
95,96,2.3026130751586393,2.302585719487606,10.0,14.34045672416687
96,97,2.3026130743952926,2.302585719487606,10.0,14.359052419662476
97,98,2.3026130751586393,2.302585719487606,10.0,14.408959150314331
98,99,2.3026130743952926,2.302585719487606,10.0,14.570940494537354
99,100,2.3026130751586393,2.302585719487606,10.0,14.533154487609863
