,Epoch,Mean Train Loss,Mean Test Loss,Test Acc(%),Time Per Epoch(s)
0,1,1.939251342233022,1.1071390643119812,76.94,17.79749035835266
1,2,0.708172612953186,0.4905965809106827,87.06,18.192469835281372
2,3,0.44512205620606743,0.3824670594096184,89.33,18.028743267059326
3,4,0.37429279770056406,0.3383011208295822,90.42,17.92332148551941
4,5,0.33866500754455725,0.31358381212949754,91.06,17.44472622871399
5,6,0.31437223221013944,0.29166710048019884,91.67999999999999,18.00247573852539
6,7,0.29484456059684355,0.27566126268804075,92.04,17.322587728500366
7,8,0.2784382291421294,0.2628433040142059,92.58999999999999,18.0950608253479
8,9,0.2638962664226691,0.24879153650105,92.86,18.166686296463013
9,10,0.2503210244826973,0.23819862374961376,93.28,17.93409752845764
10,11,0.23802428395772973,0.22632544179707764,93.62,17.69135880470276
11,12,0.22621178262059888,0.21821786445230246,93.72,17.582441568374634
12,13,0.21499404259597263,0.2082074050426483,94.03,17.91830277442932
13,14,0.2049523721159746,0.19826752097010614,94.33,17.264021158218384
14,15,0.1953885172141095,0.18849242495819926,94.49,17.95757532119751
15,16,0.1866241470483442,0.18140137471556664,94.72,17.455857276916504
16,17,0.17829016057662667,0.17334670161530374,94.88,18.01236915588379
17,18,0.17053741451141735,0.1666024110287428,94.98,17.402156591415405
18,19,0.16345317586039504,0.16253517123237252,95.14,17.883678436279297
19,20,0.15674399198815225,0.15597219564318657,95.39999999999999,17.548088312149048
20,1,1.9472747748851775,1.120896227455139,76.42999999999999,18.475013256072998
21,2,0.7111736346324284,0.49235315501689914,86.83,17.588151931762695
22,3,0.4438195794979731,0.38271757164001463,89.1,17.38488268852234
23,4,0.37276779189308484,0.33674606594443324,90.35,17.757364511489868
24,5,0.3368493182261785,0.3116086591988802,91.10000000000001,17.51086139678955
25,6,0.3126895083844662,0.2917413733869791,91.61,17.797633171081543
26,7,0.2935415591667096,0.27392432089746,92.21000000000001,17.355886936187744
27,8,0.27693638088951505,0.2613021251678467,92.64,18.0319242477417
28,9,0.2622987457138797,0.24784372220635414,92.80000000000001,17.43242645263672
29,10,0.2490207331324617,0.23637815854251384,93.39,17.905482292175293
30,11,0.23681547019332647,0.22588373978883028,93.54,17.418339252471924
31,12,0.22497978741774957,0.21605567238926887,93.67,17.64814567565918
32,13,0.21444101553757985,0.20543752234578133,94.05,17.74770498275757
33,14,0.2041969038033237,0.19850210164934395,94.1,18.134185075759888
34,15,0.19530958640873433,0.18887780137211085,94.39999999999999,18.040369987487793
35,16,0.18646968764762084,0.18100140302032233,94.75,17.397496223449707
36,17,0.17806552321078878,0.17399993311166764,94.86,17.741074085235596
37,18,0.17048413756017883,0.16622756994515658,95.00999999999999,17.20497727394104
38,19,0.16328485052200656,0.16188340243771673,95.3,17.780120849609375
39,20,0.156535405671224,0.15587373390048742,95.42,17.51368737220764
40,1,1.9193414352258047,1.0802745487213135,77.71000000000001,17.2282612323761
41,2,0.6950693598667781,0.48478291127681733,87.12,18.0361270904541
42,3,0.4402796953002612,0.37793135377764703,89.4,17.549940824508667
43,4,0.371349736058712,0.3364367509067059,90.23,17.886932849884033
44,5,0.3360125096713503,0.30924710385203363,91.08000000000001,17.335851907730103
45,6,0.3119766656398773,0.2956767870187759,91.47,18.464142560958862
46,7,0.2933411062742273,0.2732560288190842,92.2,17.329692840576172
47,8,0.27704066102852426,0.26122886613607404,92.69,17.896095514297485
48,9,0.2626912796703478,0.24738076527714728,92.99,17.356582164764404
49,10,0.2493309632005791,0.23546298339664937,93.35,17.549376010894775
50,11,0.23701426684645316,0.22656836337447167,93.53,17.5997211933136
51,12,0.22535016303310793,0.21403660868108274,93.91000000000001,17.28738498687744
52,13,0.21439075508117675,0.2091207701817155,93.99,17.75835919380188
53,14,0.20425701253823936,0.19714373569488525,94.3,17.251235485076904
54,15,0.195000624602288,0.1874918822042644,94.44,17.708033323287964
55,16,0.18616041931634147,0.1801941366225481,94.62,17.574934005737305
56,17,0.17797908990507325,0.17286908027976752,94.82000000000001,18.42206645011902
57,18,0.17016867873085043,0.16903392475694418,95.08,17.862628936767578
58,19,0.1628823579316338,0.16172233401089905,95.3,18.705565929412842
59,20,0.1559632206050058,0.15427016315311193,95.45,17.40818476676941
60,1,1.935966664203008,1.094968819141388,78.02,17.946511030197144
61,2,0.6971634138425191,0.48506842312812803,87.31,17.569643020629883
62,3,0.439239177997907,0.3809404276072979,89.36,17.818402767181396
63,4,0.37086491837153834,0.33572219056487085,90.25,17.948938608169556
