,Epoch,Mean Train Loss,Mean Test Loss,Test Acc(%),Time Per Epoch(s)
0,1,2.3010774348308844,2.29700652605448,21.349999999999998,14.566656589508057
1,2,2.295608307788568,2.290192038584978,32.66,13.298389673233032
2,3,2.2896201689444333,2.282126538264446,34.21,13.366904973983765
3,4,2.2823448557736654,2.2717694487327185,35.120000000000005,15.835620641708374
4,5,2.272358954652524,2.257558889878102,35.64,22.953254222869873
5,6,2.2590510313386214,2.2370930711428323,34.61,23.517439603805542
6,7,2.238205221953743,2.2061206790117116,33.410000000000004,25.731645584106445
7,8,2.2062898453169977,2.1585265764823327,33.660000000000004,25.500553131103516
8,9,2.1587648758129987,2.086275338362425,37.37,19.176506757736206
9,10,2.086510906987918,1.9811200889257283,43.89,21.421539306640625
10,11,1.9818822595836514,1.8362174958754809,50.470000000000006,16.7390615940094
11,12,1.8398966730722368,1.6489334075878828,57.43000000000001,15.905901908874512
12,13,1.6668812862200824,1.4303244512814741,61.809999999999995,16.941343545913696
13,14,1.4744091332912954,1.2105590575016463,66.35,15.996466159820557
14,15,1.298544706631623,1.034370365815285,70.03,23.586528539657593
15,16,1.1657221265129245,0.9117189928507193,72.78,16.59316086769104
16,17,1.0653365207965244,0.8267043284498728,75.06,17.725727081298828
17,18,0.9904296875254449,0.7641659151667204,76.78,17.0626118183136
18,19,0.9347391397619705,0.7159786889186273,78.63,18.32549214363098
19,20,0.8843804207911741,0.6743809479551438,79.88,16.958527088165283
20,21,0.8414481920264701,0.6372758002999501,81.34,16.44436502456665
21,22,0.8009530820803301,0.6045235538711915,82.19,16.644608974456787
22,23,0.7680381759126514,0.57412553148774,83.22,19.72545337677002
23,24,0.7334722981826982,0.5467834286391735,83.93,17.03256630897522
24,25,0.7048322952162621,0.5232392062361424,84.72,16.41731357574463
25,26,0.6808799036093685,0.5013108946956121,85.37,16.34099817276001
26,27,0.6543473018653365,0.4825156056919159,85.9,16.431894779205322
27,28,0.6354911261841479,0.4663163870573044,86.33,16.63580894470215
28,29,0.6134799701840544,0.4503609046148948,86.87,16.523961305618286
29,30,0.5943040951148169,0.43657779392714685,87.32,16.564302682876587
30,31,0.5788505304298635,0.4232533103189407,87.72999999999999,16.983821392059326
31,32,0.5639801496598102,0.4124044885333532,88.02,17.19301986694336
32,33,0.5497126813536647,0.40272726491093636,88.22,16.443064212799072
33,34,0.5338917600434262,0.39316037216056615,88.59,18.17754817008972
34,35,0.5277931319515886,0.38426500601837266,88.73,29.08695936203003
35,36,0.5166494395492426,0.3759400671921097,88.99000000000001,30.40914249420166
36,37,0.5027927360323475,0.3688254246774774,89.14999999999999,24.982598304748535
37,38,0.49382183448736544,0.36243928744433784,89.32,17.14367413520813
38,39,0.48367523913258803,0.3549187751964499,89.61,17.098700046539307
39,40,0.4780213022435615,0.3485341034352015,89.69,16.23872447013855
40,41,0.47011234755195447,0.3430193298472426,89.81,16.025197982788086
41,42,0.4608928588404854,0.3372168723159494,90.08,15.31880497932434
42,43,0.4528054587837217,0.33121173215122557,90.25,15.649951457977295
43,44,0.44688567308472466,0.3267603972687935,90.39,16.015012502670288
44,45,0.4411538981274963,0.3221516393316098,90.49000000000001,16.018409967422485
45,46,0.43186493383336855,0.3170570153504228,90.62,15.889634370803833
46,47,0.4276574149314342,0.3126413572507982,90.77,15.983561515808105
47,48,0.4180719663121657,0.3077953976029769,90.93,15.623555898666382
48,49,0.4120600816963704,0.3038028303939754,90.98,15.75017786026001
49,50,0.4073571887904959,0.2998943047072643,91.16,16.414961099624634
50,51,0.40339929428400834,0.2958078562305906,91.17,16.205955505371094
51,52,0.3998293344213716,0.29210905365359324,91.32000000000001,16.29935050010681
52,53,0.3909421884469696,0.28823526012591827,91.46,16.58860468864441
53,54,0.385626209901771,0.28405993243154043,91.46,17.045063018798828
54,55,0.38120876262590625,0.28042034920639336,91.55,16.56438660621643
55,56,0.37823188118040246,0.2771294764481867,91.67999999999999,16.493700742721558
56,57,0.3724268661293111,0.2734983211908585,91.79,16.550020694732666
57,58,0.3715668345782647,0.2707693793404943,91.92,19.631298542022705
58,59,0.36376342415141705,0.2671312378683629,91.94,16.098947286605835
59,60,0.359835588992469,0.26398121745277864,92.0,17.050678253173828
60,61,0.3553427710429454,0.2606964548512434,92.08,16.68576693534851
61,62,0.3507422480489681,0.25758733112030685,92.15,16.1811363697052
62,63,0.34765467169349706,0.25468546071519643,92.21000000000001,15.62639307975769
63,64,0.34716886146393633,0.2512816054603228,92.25,14.298315286636353
64,65,0.34031683782646344,0.24826002136493722,92.33,14.160220384597778
65,66,0.3372084910851151,0.24590932137261218,92.42,14.54494595527649
66,67,0.3324338224663806,0.24282064814813054,92.55,14.292733669281006
67,68,0.327251665687771,0.24001880570386463,92.63,14.54596209526062
68,69,0.328815309869537,0.2372735975166926,92.72,14.327938795089722
69,70,0.3208179143172954,0.23474548156492603,92.77,16.619770050048828
70,71,0.32048406505215765,0.23206687861313233,92.89,17.92759656906128
71,72,0.31415901627300136,0.2296847459107924,92.96,15.892899990081787
72,73,0.3140119415058843,0.22683623349532867,93.08,17.817238807678223
73,74,0.30723882744062925,0.22446385838497335,93.14,34.44097542762756
74,75,0.30819613494479925,0.22212995164311275,93.2,33.11963200569153
75,76,0.3038191845125679,0.21975240699099138,93.28,28.786758184432983
76,77,0.299538952607578,0.2173530133560491,93.33,33.7132203578949
77,78,0.2993261641927119,0.21516282072302717,93.4,31.626032829284668
78,79,0.29397340966517793,0.212575348204551,93.47,30.455092191696167
79,80,0.2921320975677626,0.21063399613978198,93.62,32.83636808395386
80,81,0.28898902998774,0.20827045566282976,93.67999999999999,33.56075477600098
81,82,0.28358048126260527,0.20664375320447084,93.64,32.14369750022888
82,83,0.2841015280827705,0.2042251122661699,93.77,33.54191994667053
83,84,0.28209025858083425,0.2020851731276474,93.85,30.577922105789185
84,85,0.27651508389440393,0.20051181401746968,93.89,29.88676643371582
85,86,0.2720854761458639,0.1983593187850112,94.0,15.48328161239624
86,87,0.27186525996730704,0.19631253964960194,94.04,16.20846724510193
87,88,0.27193741034418184,0.1943006944299365,94.1,15.360650300979614
88,89,0.26666958217798326,0.19231363391885772,94.16,17.0515456199646
89,90,0.2651985989984924,0.19043746259875405,94.19,14.198422908782959
90,91,0.26416445610172085,0.18883812364238578,94.3,14.310045003890991
91,92,0.260572355634184,0.1872107815445186,94.37,14.202997207641602
92,93,0.2603102555297705,0.18516614600174272,94.39,15.42426085472107
93,94,0.2562625947365639,0.1833108662812708,94.39999999999999,16.22403120994568
94,95,0.25637487420293414,0.18170142027352434,94.45,14.71942663192749
95,96,0.25518215368944147,0.18009244137330171,94.49,14.627705574035645
96,97,0.2517717502049092,0.17872472470238185,94.53,14.418684244155884
97,98,0.24799726296935862,0.17709028308924574,94.6,14.529980897903442
98,99,0.24684597154047536,0.17539716998968893,94.56,14.851737260818481
99,100,0.244111243736798,0.17406722822507176,94.67,14.837671041488647
