,Epoch,Mean Train Loss,Mean Test Loss,Test Acc(%),Time Per Epoch(s)
0,1,2.299565579364496,2.295329729715983,18.14,16.06368064880371
1,2,2.2906111655647496,2.285511695421659,34.37,13.359445810317993
2,3,2.280044040405127,2.273193422036293,48.0,16.75781273841858
3,4,2.2660275375830325,2.2561384485318112,53.18000000000001,13.276158571243286
4,5,2.2457340753447412,2.230538233732566,56.26,13.000937461853027
5,6,2.2136743908376295,2.188461346504016,59.35,14.01305103302002
6,7,2.158696312023965,2.114110147341704,62.57,15.49131464958191
7,8,2.05836276374479,1.9759520101241577,65.01,14.313459157943726
8,9,1.873487478259279,1.7307537213349953,67.36999999999999,13.593935012817383
9,10,1.5814584147586639,1.398329930427747,70.72,11.684064865112305
10,1,2.300441418284413,2.2950643713657675,10.47,11.501956224441528
11,2,2.289763573266908,2.2836144979183493,34.18,11.564361810684204
12,3,2.277008516175261,2.268893627020029,60.64000000000001,11.58345365524292
13,4,2.259428313600343,2.2473351512199793,65.78,11.528993368148804
14,5,2.232319812510031,2.2127153827593875,59.940000000000005,11.508200645446777
15,6,2.186983263225413,2.1527407612556066,55.34,11.47306203842163
16,7,2.1058672307776796,2.0434263730660462,54.0,11.545283555984497
17,8,1.9589328885460104,1.8497149837322724,56.720000000000006,11.580543994903564
18,9,1.7176548083538434,1.560192843278249,61.09,11.419221639633179
19,10,1.41143010036668,1.2508562023823078,68.36,11.519795179367065
20,1,2.298084785742337,2.293590929263677,28.89,11.608954906463623
21,2,2.289278012329639,2.283872601313469,38.33,11.472654819488525
22,3,2.278591447095352,2.2713898512033315,52.33,11.729767322540283
23,4,2.264162774019842,2.2538810341786117,60.29,11.563044786453247
24,5,2.243032360789361,2.2272972831359277,61.94,11.510936260223389
25,6,2.2095598851349463,2.18370261711952,60.940000000000005,11.3883638381958
26,7,2.152671180896087,2.1076203118532133,60.23,11.357228517532349
27,8,2.0510956830123446,1.9702966732856555,63.519999999999996,11.440447330474854
28,9,1.8703642203179343,1.7334312773667848,69.39,11.48424506187439
29,10,1.587961790655822,1.406547758823786,73.46000000000001,11.49443507194519
30,1,2.299192268540536,2.294309538144332,15.25,11.589812755584717
31,2,2.2899824244744496,2.2841212168717995,25.319999999999997,11.564611673355103
32,3,2.2786186983134984,2.270805675249833,46.910000000000004,11.894262075424194
33,4,2.262908082379857,2.2514986946032596,54.76,11.499290466308594
34,5,2.2389894402014408,2.2209034317579026,55.92,11.435484170913696
35,6,2.1996179952692705,2.168937168060205,56.02,11.546505451202393
36,7,2.1306619270125218,2.076132376224567,57.76,11.390383958816528
37,8,2.007446836254767,1.9121499466590393,63.449999999999996,11.336254835128784
38,9,1.7998088591890122,1.650895240979317,68.28999999999999,11.467138528823853
39,10,1.5073548124083334,1.3337131929703248,70.89999999999999,11.328299045562744
40,1,2.2970579573795153,2.2918001856559362,13.79,11.511665344238281
41,2,2.2867123057773555,2.2801564503938723,18.85,11.415491819381714
42,3,2.273683355101399,2.2647325350688052,35.76,11.471219301223755
43,4,2.2554028520207523,2.2421294038112345,45.95,11.479597330093384
44,5,2.227339648640652,2.206161922369248,50.78,11.402350902557373
45,6,2.180850326696862,2.1448034262045836,53.769999999999996,11.457503080368042
46,7,2.0989842343610277,2.0344542868626423,55.93,11.506539106369019
